budget,genres,popularity,revenue,runtime,vote_average,vote_count,director,release_month,release_DOW,log_revenue,log_budget,has_homepage
165.0,2,203.73459,652.105443,102.0,7.8,6135,191,1.0,2.0,6.481738590972796,5.111987788356544,1
165.0,8,62.341073,471.222889,108.0,7.1,4570,1060,1.0,2.0,6.157451096581246,5.111987788356544,1
165.0,2,47.323228,305.87573,100.0,6.4,1474,1117,10.0,0.0,5.7264428773646925,5.111987788356544,0
165.0,1,48.775723,389.681935,120.0,4.9,2491,1131,1.0,2.0,5.967893763469642,5.111987788356544,1
165.0,9,67.263269,494.878759,98.0,7.5,4227,188,5.0,0.0,6.206331459345212,5.111987788356544,1
200.0,1,69.405188,435.0,109.0,5.9,2143,681,2.0,4.0,6.077642243349034,5.303304908059076,0
170.0,1,481.098624,773.328629,121.0,7.9,9742,530,1.0,2.0,6.651996368750225,5.14166355650266,1
165.0,2,724.247784,675.120017,169.0,8.1,10867,206,5.0,6.0,6.516370600225442,5.111987788356544,1
160.0,1,167.58371,825.532764,148.0,8.1,13752,206,1.0,2.0,6.7172395583386395,5.081404364984463,1
15.0,1,9.476999,77.0,120.0,6.5,143,492,1.0,2.0,4.356708826689592,2.772588722239781,0
250.0,2,108.849621,1021.103568,169.0,7.0,8297,1011,1.0,2.0,6.929618104181104,5.5254529391317835,1
38.0,1,6.909942,207.283925,106.0,6.6,3428,1088,1.0,2.0,5.338902172941412,3.6635616461296463,0
150.0,9,60.269279,333.932083,166.0,7.3,3292,277,1.0,2.0,5.813927773957646,5.017279836814924,1
160.0,1,3.195174,353.624124,132.0,7.1,5181,846,1.0,2.0,5.871058422910949,5.081404364984463,1
160.0,1,127.284427,653.428261,137.0,6.6,3984,392,1.0,2.0,6.483761970480738,5.081404364984463,1
150.0,9,35.580815,215.283742,109.0,5.8,1470,670,1.0,2.0,5.376591166010146,5.017279836814924,1
160.0,2,21.133748,181.674817,99.0,5.5,583,1390,12.0,1.0,5.207707615897664,5.081404364984463,1
170.0,9,56.268916,299.370084,113.0,6.5,1725,524,1.0,2.0,5.7050153277138,5.14166355650266,1
160.0,9,42.986467,798.958165,93.0,6.0,2278,181,1.0,2.0,6.684559432550562,5.081404364984463,1
160.0,1,63.148529,433.677183,123.0,6.3,2268,350,1.0,2.0,6.074603647544223,5.081404364984463,1
155.0,16,202.042635,440.603537,126.0,5.8,3631,18,1.0,2.0,6.090412504441679,5.049856007249537,1
155.0,2,49.661984,415.686217,113.0,6.2,1514,858,1.0,2.0,6.03233346132749,5.049856007249537,0
140.0,11,34.20669,449.220945,183.0,6.6,1791,859,1.0,2.0,6.109738451157649,4.948759890378168,0
150.0,2,25.468493,709.70978,144.0,6.6,4040,859,1.0,2.0,6.5662641608187915,5.017279836814924,1
155.0,18,39.019229,167.298192,175.0,5.6,927,963,1.0,2.0,5.125737358417726,5.049856007249537,0
150.0,2,78.144395,938.212738,138.0,7.4,5494,305,1.0,2.0,6.845042011588334,5.017279836814924,1
150.0,2,101.250416,895.921036,157.0,7.5,5608,913,5.0,2.0,6.79896782696866,5.017279836814924,1
150.0,9,56.758411,624.029371,92.0,6.2,2961,1003,1.0,0.0,6.437798642232237,5.017279836814924,1
150.0,7,70.867401,585.34901,101.0,6.9,4853,392,1.0,2.0,6.37391519249429,5.017279836814924,1
150.0,2,53.905592,474.968763,115.0,6.7,3624,1297,1.0,2.0,6.165352228128494,5.017279836814924,1
150.0,3,65.677399,623.722818,111.0,7.5,4369,547,1.0,2.0,6.437308060165093,5.017279836814924,1
150.0,1,115.040024,374.218673,140.0,7.5,7359,206,10.0,3.0,5.927508984017345,5.017279836814924,1
150.0,8,44.141021,603.900354,89.0,6.2,1810,372,1.0,2.0,6.405063740333395,5.017279836814924,1
150.0,2,81.781591,413.10617,105.0,5.9,1971,1194,1.0,2.0,6.026122390223182,5.017279836814924,1
150.0,2,5.954334,373.062864,107.0,6.2,4021,427,1.0,2.0,5.924423868851234,5.017279836814924,1
150.0,2,73.313918,424.988211,129.0,6.4,3096,781,5.0,6.0,6.054411672177526,5.017279836814924,0
150.0,3,165.125366,1274.219009,102.0,7.3,5295,175,1.0,2.0,7.150873214606152,5.017279836814924,1
150.0,2,70.78591,738.599701,138.0,6.7,3443,781,1.0,2.0,6.606109095240308,5.017279836814924,0
170.0,1,99.499595,644.571402,112.0,6.8,4755,18,1.0,2.0,6.470135819196417,5.14166355650266,1
150.0,1,434.278564,378.85834,120.0,7.2,9427,438,1.0,2.0,5.9397983937434775,5.017279836814924,1
150.0,17,67.447636,356.613439,138.0,6.5,2129,1135,1.0,2.0,5.879452623689405,5.017279836814924,1
150.0,2,86.493424,449.326618,115.0,6.6,6525,731,1.0,2.0,6.109973137263807,5.017279836814924,1
150.0,3,41.845878,309.979994,98.0,6.3,1750,191,1.0,2.0,5.739728582135824,5.017279836814924,1
150.0,9,26.710398,292.817841,88.0,5.1,510,498,1.0,2.0,5.682959986879071,5.017279836814924,1
150.0,2,44.927635,301.0,99.0,5.5,1431,679,1.0,2.0,5.71042701737487,5.017279836814924,1
150.0,4,50.306728,245.527149,113.0,5.7,2320,1297,8.0,6.0,5.507472125349043,5.017279836814924,1
150.0,1,114.522237,682.330139,131.0,7.1,3224,205,1.0,2.0,6.5269781088192715,5.017279836814924,1
150.0,8,29.332905,287.594577,91.0,5.7,1171,1238,1.0,2.0,5.665022855449432,5.017279836814924,1
150.0,3,51.247321,665.692281,91.0,6.7,1880,577,1.0,2.0,6.5023285916358855,5.017279836814924,1
150.0,1,33.769336,318.502923,103.0,4.7,1151,800,1.0,2.0,5.766766422445537,5.017279836814924,1
150.0,2,63.079003,397.850012,126.0,6.5,2028,514,3.0,6.0,5.988585436443636,5.017279836814924,1
150.0,1,39.004588,205.366737,131.0,6.4,1891,1131,1.0,2.0,5.329654862674334,5.017279836814924,0
150.0,2,12.362599,38.992758,88.0,5.5,199,1202,9.0,5.0,3.6886983877224067,5.017279836814924,1
149.0,2,22.550135,64.459316,85.0,6.0,874,269,1.0,2.0,4.181428819889203,5.0106352940962555,1
150.0,2,48.03528,128.38832,111.0,5.9,954,603,1.0,2.0,4.862818115241714,5.017279836814924,0
145.0,3,38.73494,272.91243,92.0,6.7,843,1093,7.0,2.0,5.612808456765427,4.983606621708336,0
175.0,2,66.803149,497.409852,163.0,6.9,2759,1390,1.0,2.0,6.21142273453309,5.170483995038151,0
145.0,3,44.989192,746.921274,93.0,6.4,1808,220,6.0,2.0,6.617297723772347,4.983606621708336,0
140.0,2,54.159392,431.971116,133.0,5.8,1092,767,1.0,2.0,6.07067101908004,4.948759890378168,1
144.0,1,66.21806,229.147509,116.0,5.3,2142,981,1.0,2.0,5.4387204468286185,4.976733742420574,1
140.0,1,58.485967,553.799566,151.0,6.4,2482,859,1.0,2.0,6.318606906176492,4.948759890378168,0
140.0,1,91.332849,441.818803,88.0,6.0,3114,92,3.0,3.0,6.093160663799223,4.948759890378168,1
70.0,2,35.601665,195.735876,115.0,5.5,841,1117,5.0,4.0,5.281862098189605,4.2626798770413155,1
145.0,1,56.747978,521.170825,95.0,6.7,1603,577,1.0,2.0,6.257994785305578,4.983606621708336,1
145.0,1,77.77477,694.71338,133.0,6.8,3972,130,7.0,1.0,6.544937765172426,4.983606621708336,1
145.0,9,61.788035,306.94167,97.0,7.1,1922,1017,1.0,2.0,5.729910381921444,4.983606621708336,1
100.0,4,25.159168,202.026112,90.0,5.9,627,311,1.0,2.0,5.31333460131146,4.61512051684126,1
140.0,7,52.341226,456.758981,154.0,7.3,1895,361,5.0,0.0,6.126342803242,4.948759890378168,0
140.0,2,101.599427,268.031828,150.0,5.6,1921,1083,3.0,2.0,5.594829692305217,4.948759890378168,1
150.0,16,73.616808,385.680446,127.0,7.4,4518,514,6.0,4.0,5.957598631004243,5.017279836814924,0
139.0,9,82.502566,821.708551,121.0,6.8,5265,1163,1.0,5.0,6.712602007946079,4.941642422609304,1
145.0,9,100.21391,609.123048,102.0,7.6,3106,309,12.0,5.0,6.4136606548577975,4.983606621708336,1
140.0,9,56.257249,150.680864,127.0,5.3,1277,29,1.0,2.0,5.0217787346930205,4.948759890378168,0
135.0,1,17.88953,76.932943,121.0,4.9,331,1088,1.0,2.0,4.355848751802996,4.912654885736052,0
130.0,1,64.798873,185.258983,163.0,7.0,2811,1400,5.0,6.0,5.227138086969081,4.875197323201151,1
140.0,1,24.855701,285.444603,127.0,6.3,767,1065,10.0,2.0,5.657545159692628,4.948759890378168,0
137.0,7,34.981698,245.36048,138.0,5.3,1533,63,1.0,2.0,5.506795829185186,4.927253685157205,0
130.0,2,59.325589,371.876278,110.0,5.4,3025,669,1.0,2.0,5.921246670251097,4.875197323201151,1
130.0,1,21.605568,119.269486,124.0,5.7,434,135,6.0,5.0,4.789734941595924,4.875197323201151,0
137.0,2,26.074908,85.13183,106.0,5.9,433,494,2.0,2.0,4.45587902952765,4.927253685157205,0
140.0,1,74.506246,370.569774,124.0,6.6,7047,600,1.0,2.0,5.917736663480694,4.948759890378168,1
135.0,2,39.604363,361.8324,128.0,6.0,862,858,8.0,2.0,5.893941019655917,4.912654885736052,1
150.0,2,36.973031,212.011111,138.0,6.9,790,1022,1.0,2.0,5.361344328668163,5.017279836814924,1
120.0,2,99.687084,829.0,115.0,6.1,2553,112,1.0,2.0,6.721425700790643,4.795790545596741,0
130.0,3,17.7735,150.406466,100.0,5.8,373,438,1.0,2.0,5.01996804814951,4.875197323201151,1
150.0,16,62.898336,163.712074,114.0,6.1,3021,788,12.0,5.0,5.10419894354337,5.017279836814924,0
140.0,2,44.19092,183.345589,120.0,6.0,1000,1254,1.0,2.0,5.216812197081713,4.948759890378168,1
135.0,19,100.635882,532.950503,156.0,7.3,6396,22,1.0,2.0,6.280303143652882,4.912654885736052,1
135.0,3,44.765377,282.570682,96.0,6.1,1074,302,11.0,3.0,5.64746141131692,4.912654885736052,1
135.0,3,29.91353,245.724603,107.0,6.6,2051,454,2.0,3.0,5.508272746977842,4.912654885736052,1
132.0,8,84.366984,373.552094,92.0,6.5,1346,372,1.0,2.0,5.9257308960871145,4.890349128221754,0
70.0,1,45.381501,442.824138,115.0,7.3,2888,982,3.0,3.0,6.0954283983840245,4.2626798770413155,1
130.0,2,84.689648,631.74456,90.0,6.9,3145,821,4.0,6.0,6.45006680199594,4.875197323201151,1
130.0,16,120.09361,519.311965,117.0,7.0,5880,1024,1.0,2.0,6.254428564380106,4.875197323201151,1
130.0,2,76.310119,847.423452,146.0,7.4,6495,392,1.0,2.0,6.743379864929882,4.875197323201151,1
135.0,9,63.473086,368.871007,94.0,6.8,1519,1300,1.0,2.0,5.913154315123068,4.912654885736052,1
132.0,2,48.572726,591.739379,116.0,6.2,2322,1254,1.0,2.0,6.384754806606998,4.890349128221754,0
130.0,2,38.068736,273.339556,147.0,6.3,1564,859,1.0,2.0,5.614366594619265,4.875197323201151,0
130.0,1,20.678787,554.987477,90.0,6.4,451,181,1.0,2.0,6.320745770615632,4.875197323201151,0
110.0,1,48.829437,293.329073,100.0,6.2,2093,1032,1.0,2.0,5.684698437312407,4.709530201312334,1
125.0,7,46.115758,362.637473,139.0,5.6,2350,262,1.0,2.0,5.896157418049004,4.836281906951478,1
130.0,2,89.938296,371.940071,107.0,6.7,2061,1254,1.0,2.0,5.921417739175078,4.875197323201151,1
130.0,2,79.679601,789.804554,141.0,7.7,5877,34,1.0,2.0,6.673050850005222,4.875197323201151,0
130.0,7,28.840997,49.554002,165.0,6.3,694,95,1.0,2.0,3.923042111472235,4.875197323201151,0
130.0,16,42.840582,243.843127,100.0,5.0,2532,800,1.0,2.0,5.50061770750726,4.875197323201151,0
127.5,3,26.548594,354.248063,82.0,6.2,542,1048,1.0,2.0,5.872816314464105,4.855928904335275,0
127.0,2,115.597753,349.424282,97.0,6.1,1851,1194,1.0,2.0,5.8591446546064505,4.852030263919617,0
130.0,3,68.757242,321.887208,95.0,6.7,1918,1320,1.0,2.0,5.777303060999317,4.875197323201151,1
125.0,2,109.984351,976.47555,152.0,7.5,7006,177,1.0,2.0,6.884973278758972,4.836281906951478,1
130.0,9,39.448066,61.6485,96.0,5.4,1260,1111,1.0,2.0,4.137539738517541,4.875197323201151,1
140.0,2,271.972889,655.011224,143.0,7.5,6985,454,9.0,6.0,6.486177898553817,4.948759890378168,1
125.0,16,206.227151,752.100229,123.0,6.6,5584,392,1.0,2.0,6.624198325183744,4.836281906951478,1
125.0,17,45.313197,767.820459,149.0,6.5,2704,1135,1.0,2.0,6.6448574689044975,4.836281906951478,1
103.0,3,42.40024,500.188435,102.0,6.3,978,161,1.0,2.0,6.216982148134781,4.6443908991413725,1
110.0,2,2.871739,407.711549,133.0,6.8,3506,152,1.0,2.0,6.013009648061859,4.709530201312334,0
125.0,1,7.255718,626.137675,130.0,7.1,2438,716,1.0,2.0,6.441166093881814,4.836281906951478,1
125.0,2,81.499621,334.615,129.0,7.0,3886,470,1.0,2.0,5.815964669660958,4.836281906951478,1
125.0,2,47.686442,232.713139,106.0,5.6,2233,788,1.0,0.0,5.454094461616124,4.836281906951478,1
65.0,1,43.129703,261.317921,113.0,7.1,1710,992,1.0,5.0,5.569557207070403,4.189654742026425,0
160.0,2,27.220157,61.698899,102.0,6.4,510,641,1.0,2.0,4.138343887676087,5.081404364984463,0
130.0,1,90.33681,276.572938,120.0,6.0,2651,1332,8.0,2.0,5.626083738289842,4.875197323201151,1
125.0,1,50.073575,238.207122,125.0,4.2,1418,607,1.0,2.0,5.477329795880724,4.836281906951478,0
123.0,8,45.419668,345.141403,104.0,6.2,1386,1135,1.0,2.0,5.846847370761881,4.820281565605037,1
125.0,1,41.380094,544.272402,124.0,6.2,2392,1131,1.0,2.0,6.301285489978229,4.836281906951478,1
125.0,2,54.931334,546.388105,123.0,5.9,1928,660,1.0,2.0,6.3051580663741325,4.836281906951478,1
120.0,7,25.752118,325.756637,130.0,6.2,597,1390,1.0,2.0,5.789215664463306,4.795790545596741,0
130.0,2,60.810723,289.047763,92.0,5.4,2589,1303,1.0,2.0,5.670045609418963,4.875197323201151,0
120.0,2,51.328145,609.016565,127.0,7.2,5797,63,1.0,2.0,6.413486112536352,4.795790545596741,1
110.0,17,46.834704,228.738393,114.0,5.2,1712,827,1.0,2.0,5.436941239829035,4.709530201312334,1
120.0,1,62.641286,415.484914,123.0,5.9,2341,982,1.0,2.0,6.03185024006255,4.795790545596741,1
120.0,1,33.616115,259.175788,106.0,5.2,914,848,1.0,2.0,5.561357510249999,4.795790545596741,0
130.0,16,68.889395,403.170142,124.0,6.3,5080,1083,1.0,2.0,6.001835932869446,4.875197323201151,1
120.0,8,27.990284,169.956806,78.0,5.4,613,1093,1.0,2.0,5.141410928103565,4.795790545596741,0
115.0,16,67.33767,286.1407,109.0,6.4,3439,933,7.0,0.0,5.6599723395317785,4.7535901911063645,0
105.0,1,27.835436,115.772733,119.0,6.3,1570,303,11.0,5.0,4.760229592797888,4.663439094112067,0
120.0,1,66.757869,242.688965,102.0,5.7,2342,703,1.0,2.0,5.495892678522642,4.795790545596741,1
120.0,1,17.060695,93.945766,135.0,5.7,354,781,9.0,4.0,4.553305844373578,4.795790545596741,1
120.0,4,11.137655,48.668907,121.0,4.9,223,533,1.0,2.0,3.9053791236425925,4.795790545596741,1
117.0,1,44.906918,261.930431,109.0,5.9,1547,535,1.0,2.0,5.571889476273389,4.770684624465665,1
120.0,1,67.698004,286.168572,124.0,6.4,4800,689,10.0,4.0,5.660069402216923,4.795790545596741,1
113.0,16,44.108427,850.0,140.0,7.1,4116,437,1.0,2.0,6.7464121285733745,4.736198448394496,1
120.0,2,43.987061,649.398328,142.0,6.4,3992,437,1.0,2.0,6.477584987504589,4.795790545596741,1
115.0,3,106.815545,562.816256,92.0,7.5,5996,1000,1.0,3.0,6.334728411183827,4.7535901911063645,1
120.0,1,15.953444,415.440673,126.0,6.3,4053,535,1.0,2.0,6.0317440096843935,4.795790545596741,1
115.0,2,54.035265,924.317558,136.0,6.3,4432,437,1.0,2.0,6.830136984542369,4.7535901911063645,1
135.0,2,64.183321,585.178928,98.0,6.8,2399,188,1.0,2.0,6.373625080854847,4.912654885736052,1
97.2504,9,20.344364,132.9,116.0,5.0,471,1294,1.0,2.0,4.897093252697127,4.5875193219879025,1
115.0,7,18.714197,77.628265,134.0,5.8,341,660,1.0,2.0,4.364731240390529,4.7535901911063645,0
115.0,1,60.467984,164.602163,114.0,6.0,1523,166,6.0,5.0,5.10958830346006,4.7535901911063645,1
125.0,16,143.350376,477.2,101.0,5.8,2636,679,7.0,1.0,6.170029055024225,4.836281906951478,1
105.0,16,110.153618,716.392705,91.0,7.3,5751,34,1.0,2.0,6.575623396381859,4.663439094112067,1
116.0,1,16.90444,178.12776,108.0,5.7,428,1126,7.0,2.0,5.188099294264103,4.762173934797756,0
135.0,9,39.873791,245.623848,112.0,5.8,963,265,1.0,2.0,5.507864293272569,4.912654885736052,1
120.0,1,38.126095,167.977596,100.0,4.4,2278,697,5.0,4.0,5.129766138087816,4.795790545596741,1
110.0,1,48.780039,574.480841,108.0,6.3,2862,1194,1.0,2.0,6.355205936556518,4.709530201312334,0
110.0,1,100.412364,470.490832,114.0,6.0,2968,132,1.0,2.0,6.1558996575578515,4.709530201312334,1
110.0,2,42.887121,333.011068,119.0,6.0,925,1129,11.0,2.0,5.811174130152209,4.709530201312334,1
110.0,7,23.657284,215.294342,165.0,6.8,1099,1131,1.0,2.0,5.3766401745031525,4.709530201312334,0
110.0,17,76.840712,362.74428,125.0,6.4,2124,1253,9.0,6.0,5.896451093276151,4.709530201312334,1
110.0,1,44.635452,478.20752,120.0,6.5,2965,343,7.0,2.0,6.172133739499477,4.709530201312334,0
110.0,2,103.718387,295.238201,119.0,6.2,3829,1111,1.0,2.0,5.6911638638080895,4.709530201312334,1
116.0,7,45.616098,102.0,170.0,7.0,1489,837,1.0,2.0,4.634728988229636,4.762173934797756,0
